match_id,batsman,runs_scored,balls_faced,strike_rate,venue,venue_avg,career_avg,last5_avg
1426282,A Badoni,18,13.0,138.46153846153845,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",18.495454545454546,17.655172413793103,22.4
1426286,A Badoni,6,6.0,100.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",18.495454545454546,17.666666666666668,24.4
1426292,A Badoni,15,12.0,125.0,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",18.495454545454546,17.29032258064516,25.6
1426295,A Badoni,55,30.0,183.33333333333331,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",23.769633507853403,17.21875,24.6
1426302,A Badoni,6,9.0,66.66666666666666,"Arun Jaitley Stadium, Delhi",23.419354838709676,18.363636363636363,24.6
1426305,A Badoni,22,10.0,220.00000000000003,"Wankhede Stadium, Mumbai",21.618768328445746,18.0,20.0
336038,A Mishra,2,5.0,40.0,Wankhede Stadium,19.74621549421193,17.5,17.5
392198,A Mishra,0,4.0,0.0,SuperSport Park,19.884393063583815,12.333333333333334,12.333333333333334
335988,A Symonds,12,13.0,92.3076923076923,"Rajiv Gandhi International Stadium, Uppal",19.61134163208852,32.0,32.0
335990,A Symonds,117,53.0,220.7547169811321,"Rajiv Gandhi International Stadium, Uppal",19.61134163208852,22.0,22.0
392216,A Symonds,60,36.0,166.66666666666669,De Beers Diamond Oval,17.875,53.666666666666664,53.666666666666664
392220,A Symonds,30,19.0,157.89473684210526,De Beers Diamond Oval,17.875,55.25,55.25
392223,A Symonds,41,22.0,186.36363636363635,Kingsmead,16.502024291497975,50.2,50.2
392228,A Symonds,18,13.0,138.46153846153845,New Wanderers Stadium,18.508474576271187,48.666666666666664,52.0
392229,A Symonds,25,25.0,100.0,New Wanderers Stadium,18.508474576271187,44.285714285714285,53.2
392236,A Symonds,18,15.0,120.0,SuperSport Park,19.884393063583815,41.875,34.8
392237,A Symonds,24,15.0,160.0,SuperSport Park,19.884393063583815,39.22222222222222,26.4
392239,A Symonds,33,21.0,157.14285714285714,New Wanderers Stadium,18.508474576271187,37.7,25.2
419106,A Symonds,5,9.0,55.55555555555556,Dr DY Patil Sports Academy,16.62962962962963,37.27272727272727,23.6
419110,A Symonds,50,43.0,116.27906976744187,"MA Chidambaram Stadium, Chepauk",20.1,34.583333333333336,21.0
419117,A Symonds,53,38.0,139.4736842105263,Barabati Stadium,20.70754716981132,35.76923076923077,26.0
419120,A Symonds,35,24.0,145.83333333333331,Barabati Stadium,20.70754716981132,37.0,33.0
419126,A Symonds,22,14.0,157.14285714285714,"Sardar Patel Stadium, Motera",19.612021857923498,36.86666666666667,35.2
419130,A Symonds,1,6.0,16.666666666666664,Dr DY Patil Sports Academy,16.62962962962963,35.9375,33.0
419135,A Symonds,45,37.0,121.62162162162163,Eden Gardens,19.843501326259947,33.88235294117647,32.2
419138,A Symonds,21,18.0,116.66666666666667,Brabourne Stadium,21.467105263157894,34.5,31.2
419141,A Symonds,15,20.0,75.0,"Vidarbha Cricket Association Stadium, Jamtha",15.222222222222221,33.78947368421053,24.8
419145,A Symonds,53,24.0,220.83333333333334,M Chinnaswamy Stadium,19.957247132429615,32.85,20.8
419147,A Symonds,27,22.0,122.72727272727273,"Vidarbha Cricket Association Stadium, Jamtha",15.222222222222221,33.80952380952381,27.0
419151,A Symonds,19,20.0,95.0,"Vidarbha Cricket Association Stadium, Jamtha",15.222222222222221,33.5,32.2
419156,A Symonds,4,6.0,66.66666666666666,Himachal Pradesh Cricket Association Stadium,20.29850746268657,32.869565217391305,27.0
419160,A Symonds,54,30.0,180.0,Feroz Shah Kotla,19.530133928571427,31.666666666666668,23.6
